Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Gaultheria hispida,,protect in coastline sites,very showy flower display slow but grows faster with protection,Snow Berry,good drainage,usually moisture reliant,white flowers in spring & summer,very frost & snow hardy,,,1.0,dappled shade,D,light clay to sandy soils,T,,1.0,some wind protection,"Known for its very showy flower display slow but grows faster with protection, Snow Berry makes an excellent addition to any garden. very showy flower display slow but grows faster with protection. It showcases white flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Copper Crest Austraflora,,mild coastal sites,fast growing prickly groundcover very good bird attracting plant,,moist well drained site,usually tolerates dry periods,pink toothbrushes in summer & autumn,frost hardy,G,,0.4,prefers full sun,,light clay to sandy soils,,,3.0,wind resistant,"Gardeners often choose Grevillea Copper Crest Austraflora for fast growing prickly groundcover very good bird attracting plant. It showcases pink toothbrushes in summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.4 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea australis prostrate,,mild coastal sites,forms a compact low groundcover slow growth but useful on retainer walls,Tas. Alpine Grevillea,good drainage,usually tolerates dry periods,small white flowers in summer,very frost & snow hardy,G,H,0.3,part shade to full sun,,light clay to sandy soils,T,,2.0,very wind resistant,"Gardeners often choose Tas. Alpine Grevillea for forms a compact low groundcover slow growth but useful on retainer walls. It showcases small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Bronze Rambler,,mild coastal sites,trailing groundcover - large retainer wall very good bird attracting plant,,good drainage,usually tolerates dry periods,burgundy red brushes in winter & spring,very frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,4.0,wind resistant,"Grevillea Bronze Rambler is well-regarded for trailing groundcover - large retainer wall very good bird attracting plant. It showcases burgundy red brushes in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Pink Pearl Canberra Gem,,moderate coastal exposure,prickly dense screen good bird attracting plant,syn. G. Canberra Gem,moist well drained site,drought tolerant,pink spider flowers in winter & spring,very frost hardy,,H,1.9,prefers full sun,,light clay to sandy soils,,,2.2,very wind resistant,"syn. G. Canberra Gem (Grevillea Pink Pearl Canberra Gem) is recognized for prickly dense screen good bird attracting plant. It showcases pink spider flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.9 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Carpet Queen,C,moderate coastal exposure,groundcover - use on large retainer wall very good bird attracting plant,,good drainage,drought tolerant,yellow spider flowers in spring,frost hardy,G,,0.4,prefers full sun,,light clay to sandy soils,,,1.6,very wind resistant,"Known for its groundcover - use on large retainer wall very good bird attracting plant, Grevillea Carpet Queen makes an excellent addition to any garden. groundcover - use on large retainer wall very good bird attracting plant. It showcases yellow spider flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.4 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Copper Rocket,,mild coastal sites,fast growing screen prune occasionally,,moist well drained site,usually tolerates dry periods,pink toothbrush flowers winter & spring,very frost hardy,,H,3.0,part shade to full sun,,light clay to sandy soils,,,4.0,very wind resistant,"Known for its fast growing screen prune occasionally, Grevillea Copper Rocket makes an excellent addition to any garden. fast growing screen prune occasionally. It showcases pink toothbrush flowers winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea diminuta,,mild coastal sites,compact foliage - slow growth habit useful in rockery,,moist well drained site,usually tolerates dry periods,red flower in winter & spring,very frost & snow hardy,,H,0.8,part shade to full sun,,light clay to sandy soils,,,1.2,very wind resistant,"Known for its compact foliage - slow growth habit useful in rockery, Grevillea diminuta makes an excellent addition to any garden. compact foliage - slow growth habit useful in rockery. It showcases red flower in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea endlicheriana,C,moderate coastal exposure,small feature with contrast grey leaves don’t prune - stems have the flowers,Spindly Grevillea,very good drainage,drought tolerant,light pink flowers - spring & summer,frost hardy,,,1.6,prefers full sun,,prefers sandy soils,,,1.5,some wind protection,"Known for its small feature with contrast grey leaves don’t prune - stems have the flowers, Spindly Grevillea makes an excellent addition to any garden. small feature with contrast grey leaves don’t prune - stems have the flowers. It showcases light pink flowers - spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.6 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Forest Rambler,,mild coastal sites,good bird attracting plant,,moist well drained site,usually tolerates dry periods,soft red flowers in winter & spring,very frost hardy,,H,1.5,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Grevillea Forest Rambler is well-regarded for good bird attracting plant. It showcases soft red flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea gaudichaudii laurifolia X acanthifolia,,mild coastal sites,trailing groundcover for a retainer wall bird attracting plant,,good drainage,usually tolerates dry periods,red toothbrushes in winter & spring,frost hardy,G,,0.2,prefers full sun,,light clay to sandy soils,,,3.0,wind resistant,"Grevillea gaudichaudii laurifolia X acanthifolia is a remarkable plant admired for trailing groundcover for a retainer wall bird attracting plant. It showcases red toothbrushes in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea manglesii glabrata manglesii,C,moderate coastal exposure,fast growing screen - prune good bird attracting plant,syn. Grev. glabrata,moist well drained site,usually tolerates dry periods,white flowers in winter & spring,frost hardy,,,3.0,prefers full sun,,light clay to sandy soils,,,4.0,very wind resistant,"Grevillea manglesii glabrata manglesii is well-regarded for fast growing screen - prune good bird attracting plant. It showcases white flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea lanigera upright,C,moderate coastal exposure,very hardy shrub - tip prune occasionally also bird attracting,Woolly Grevillea,good drainage,drought tolerant,red & cream spiders in winter & spring,very frost & snow hardy,,H,1.4,prefers full sun,,light clay to sandy soils,,,1.4,very wind resistant,"Known for its very hardy shrub - tip prune occasionally also bird attracting, Woolly Grevillea makes an excellent addition to any garden. very hardy shrub - tip prune occasionally also bird attracting. It showcases red & cream spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.4 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea lanigera Mt. Tamboritha,C,moderate coastal exposure,compact groundcover for retainer wall rockery or container - also bird attracting,,good drainage,drought tolerant,pink & cream spiders in winter,very frost & snow hardy,G,H,0.2,prefers full sun,,light clay to sandy soils,,,1.3,very wind resistant,"Grevillea lanigera Mt. Tamboritha is a remarkable plant admired for compact groundcover for retainer wall rockery or container - also bird attracting. It showcases pink & cream spiders in winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Nectar Delight,,mild coastal sites,trailing groundcover for a retainer wall good bird attracting plant,,moist well drained site,usually tolerates dry periods,red toothbrush flowers in summer,very frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,2.0,wind resistant,"Grevillea Nectar Delight (Grevillea Nectar Delight) is recognized for trailing groundcover for a retainer wall good bird attracting plant. It showcases red toothbrush flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea obtusifolia Gin Gin Gem prostrate,,mild coastal sites,fast growing groundcover also bird attracting,,moist well drained site,usually tolerates dry periods,red spider flowers in summer,frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,2.0,wind resistant,"Gardeners often choose Grevillea obtusifolia Gin Gin Gem prostrate for fast growing groundcover also bird attracting. It showcases red spider flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Poorinda Firebird,C,moderate coastal exposure,prune to create a low screen very good bird attracting plant,,good drainage,usually tolerates dry periods,red spider flowers in winter & spring,frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,2.0,wind resistant,"Grevillea Poorinda Firebird (Grevillea Poorinda Firebird) is recognized for prune to create a low screen very good bird attracting plant. It showcases red spider flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Poorinda Peter,C,moderate coastal exposure,makes a good screen or small feature very good bird attracting plant,,good drainage,drought tolerant,rich red toothbrushes in spring,frost hardy,,,3.0,prefers full sun,,light clay to sandy soils,,,4.5,wind resistant,"Gardeners often choose Grevillea Poorinda Peter for makes a good screen or small feature very good bird attracting plant. It showcases rich red toothbrushes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Poorinda Queen,,mild coastal sites,prune to create a screen good bird attracting plant,,moist well drained site,usually tolerates dry periods,apricot spiders in winter & spring,very frost hardy,,H,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Grevillea Poorinda Queen is a remarkable plant admired for prune to create a screen good bird attracting plant. It showcases apricot spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Poorinda Royal Mantle,,mild coastal sites,trailing groundcover for a retainer wall bird attracting plant,,very good drainage,drought tolerant,"red toothbrushes autumn, winter & spring",frost hardy,G,,0.15,part shade to full sun,,prefers sandy soils,,,4.0,wind resistant,"Gardeners often choose Grevillea Poorinda Royal Mantle for trailing groundcover for a retainer wall bird attracting plant. It showcases red toothbrushes autumn, winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.15 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea robusta,,mild coastal sites,lovely avenue feature does not flower well in Tasmania,Silky Oak,good drainage,usually tolerates dry periods,gold toothbrushes in spring,light frosts only,,,7.0,prefers full sun,,light clay to sandy soils,,,4.0,some wind protection,"Silky Oak (Grevillea robusta) is recognized for lovely avenue feature does not flower well in tasmania. It showcases gold toothbrushes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 7.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea rosmarinifolia nana,C,moderate coastal exposure,compact groundcover or rockery plant prickly bird attracting plant,,moist well drained site,drought tolerant,red spider flower in spring & summer,very frost hardy,G,H,0.7,prefers full sun,,light clay to sandy soils,,,1.0,very wind resistant,"Gardeners often choose Grevillea rosmarinifolia nana for compact groundcover or rockery plant prickly bird attracting plant. It showcases red spider flower in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Pryor’s Hybrid Scarlet Pink Sprite,C,moderate coastal exposure,compact low screen very good bird attracting plant,syn. G. Scarlet Sprite,moist well drained site,drought tolerant,bright pink spiders in winter & spring,very frost hardy,,H,1.5,part shade to full sun,,light clay to sandy soils,,,1.8,very wind resistant,"syn. G. Scarlet Sprite (Grevillea Pryor’s Hybrid Scarlet Pink Sprite) is recognized for compact low screen very good bird attracting plant. It showcases bright pink spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Sid Reynolds,,mild coastal sites,showy flowers - makes a good screen good bird attracting plant,,good drainage,usually tolerates dry periods,pink spider flowers in spring,frost hardy,,,2.1,prefers full sun,,light clay to sandy soils,,,2.0,some wind protection,"Known for its showy flowers - makes a good screen good bird attracting plant, Grevillea Sid Reynolds makes an excellent addition to any garden. showy flowers - makes a good screen good bird attracting plant. It showcases pink spider flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.1 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Poorinda Splendour,,mild coastal sites,prune to create a screen good bird attracting plant,,very good drainage,usually tolerates dry periods,vivid red spider flowers in spring,light frosts only,,,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,wind resistant,"Grevillea Poorinda Splendour is a remarkable plant admired for prune to create a screen good bird attracting plant. It showcases vivid red spider flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea thelemanniana grey,C,moderate coastal exposure,showy flowers - use on retainer walls good bird attracting groundcover,Spider Net Grevillea,very good drainage,drought tolerant,bright red spiders in winter & spring,frost hardy,G,,0.4,part shade to full sun,,prefers sandy soils,,,2.0,some wind protection,"Spider Net Grevillea (Grevillea thelemanniana grey) is recognized for showy flowers - use on retainer walls good bird attracting groundcover. It showcases bright red spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.4 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea miqueliana oval leaf victoriae,,mild coastal sites,prune to create a screen good bird attracting plant,,moist well drained site,usually tolerates dry periods,red spider flowers in spring,very frost & snow hardy,,H,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Grevillea miqueliana oval leaf victoriae is well-regarded for prune to create a screen good bird attracting plant. It showcases red spider flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea victoriae leptoneura,,mild coastal sites,prune to create a screen good bird attracting plant,,moist well drained site,usually tolerates dry periods,"red spiders in winter, spring & summer",very frost & snow hardy,,H,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Known for its prune to create a screen good bird attracting plant, Grevillea victoriae leptoneura makes an excellent addition to any garden. prune to create a screen good bird attracting plant. It showcases red spiders in winter, spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea victoriae Murray Queen,,mild coastal sites,prune to create a screen good bird attracting plant,,moist well drained site,usually tolerates dry periods,rusty red spiders in winter & spring,very frost & snow hardy,,H,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Grevillea victoriae Murray Queen (Grevillea victoriae Murray Queen) is recognized for prune to create a screen good bird attracting plant. It showcases rusty red spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Winpara Gem,C,moderate coastal exposure,forms a dense screen - tip prune good bird attracting plant,,good drainage,drought tolerant,red spider flowers in winter & spring,very frost hardy,,,2.5,part shade to full sun,,light clay to sandy soils,,,3.0,wind resistant,"Gardeners often choose Grevillea Winpara Gem for forms a dense screen - tip prune good bird attracting plant. It showcases red spider flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea Burrendong Beauty,,protect in coastline sites,groundcover for retainer wall endangered species - bird attracting,Burrendong Beauty,very good drainage,very drought tolerant,showy pink flowers in autumn & winter,light frosts only,G,,0.75,prefers full sun,,prefers sandy soils,,,2.5,some wind protection,"Burrendong Beauty (Hakea Burrendong Beauty) is recognized for groundcover for retainer wall endangered species - bird attracting. It showcases showy pink flowers in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea elliptica,,mild coastal sites,dense screen -- attracts birds lovely soft brown tips on new growth,Oval leaf Hakea,very good drainage,very drought tolerant,profuse white flowers in early spring,light frosts only,,,2.75,prefers full sun,,light clay to sandy soils,,,2.5,wind resistant,"Oval leaf Hakea is a remarkable plant admired for dense screen -- attracts birds lovely soft brown tips on new growth. It showcases profuse white flowers in early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea epiglottis,,protect in coastline sites,very tough windbreak or screen revegatation plant,Beaked Needle Bush,good drainage,drought tolerant,creamy yellow flowers in summer,very frost & snow hardy,,H,3.5,part shade to full sun,,light clay to sandy soils,T,,3.0,very wind resistant,"Beaked Needle Bush is a remarkable plant admired for very tough windbreak or screen revegatation plant. It showcases creamy yellow flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea laurina,,mild coastal sites,very showy avenue feature good bird attracting plant,Pin - Cushion Hakea,very good drainage,drought tolerant,red pin - cushions in autumn & winter,light frosts only,,,3.0,prefers full sun,,light clay to sandy soils,,,2.5,some wind protection,"Pin - Cushion Hakea (Hakea laurina) is recognized for very showy avenue feature good bird attracting plant. It showcases red pin - cushions in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea microcarpa,,mild coastal sites,tough prickly revegatation plant also bird attracting,,good drainage,usually tolerates dry periods,creamy white flowers in summer,very frost & snow hardy,,H,1.25,prefers full sun,,light clay to sandy soils,T,,1.5,very wind resistant,"Hakea microcarpa is a remarkable plant admired for tough prickly revegatation plant also bird attracting. It showcases creamy white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.25 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea multilineata,,mild coastal sites,beautiful small garden feature good bird attracting plant,Pink Bottlebrush Hakea,very good drainage,very drought tolerant,pinky red poker flowers in late spring,frost hardy,,,2.5,prefers full sun,,prefers sandy soils,,,2.5,some wind protection,"Pink Bottlebrush Hakea (Hakea multilineata) is recognized for beautiful small garden feature good bird attracting plant. It showcases pinky red poker flowers in late spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea nodosa,,mild coastal sites,fast growing screen or windbreak revegatation plant,Yellow Hakea,tolerates wet sites,usually tolerates dry periods,yellow flowers in autumn & winter,very frost hardy,,H,2.5,prefers full sun,,light clay to sandy soils,T,W,2.5,very wind resistant,"Hakea nodosa is well-regarded for fast growing screen or windbreak revegatation plant. It showcases yellow flowers in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea oleifolia,,mild coastal sites,prune to create a high screen very good bird attracting plant,Olive leaved Hakea,very good drainage,very drought tolerant,profuse white flowers in spring,frost hardy,,,4.0,prefers full sun,,prefers sandy soils,,,3.0,wind resistant,"Olive leaved Hakea (Hakea oleifolia) is recognized for prune to create a high screen very good bird attracting plant. It showcases profuse white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea petiolaris,,mild coastal sites,grey green contrast foliage avenue feature - also bird attracting,Sea Urchin Hakea,very good drainage,very drought tolerant,red & yellow pin - cushions in autumn,light frosts only,,,3.0,prefers full sun,,prefers sandy soils,,,2.5,some wind protection,"Sea Urchin Hakea is a remarkable plant admired for grey green contrast foliage avenue feature - also bird attracting. It showcases red & yellow pin - cushions in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea salicifolia,,mild coastal sites,fast growing tall screen avenue feature - also bird attracting,Willow leaf Hakea,good drainage,usually tolerates dry periods,profuse white flowers in spring,frost hardy,,,4.0,prefers full sun,,light clay to sandy soils,,,4.0,wind resistant,"Gardeners often choose Willow leaf Hakea for fast growing tall screen avenue feature - also bird attracting. It showcases profuse white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea drupacea suaveolens,C,severe coastal exposure,prickly - prune for a high screen very good bird attracting plant,Sweet Hakea,very good drainage,very drought tolerant,white flowers in autumn,very frost & snow hardy,,,3.0,prefers full sun,,light clay to sandy soils,,,3.0,wind resistant,"Sweet Hakea is a remarkable plant admired for prickly - prune for a high screen very good bird attracting plant. It showcases white flowers in autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hardenbergia comptoniana,,mild coastal sites,climber or trailing groundcover useful on retainer walls,Wild Wisteria,very good drainage,drought tolerant,profuse bluey purple racemes in spring,light frosts only,G,,2.5,prefers full sun,,light clay to sandy soils,,,3.0,some wind protection,"Wild Wisteria (Hardenbergia comptoniana) is recognized for climber or trailing groundcover useful on retainer walls. It showcases profuse bluey purple racemes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
